Code,Name
ENSI,Ensilica
ESO,EPE Special Opportunities Ltd
KBT,K3 Business Technology Group
KMK,Kromek Group
OFG,Octopus Future Generations VCT
EEE,Empire Metals Ltd
GOOD,Good Energy Group
PCIP,PCI-PAL
DCI,Dolphin Capital Investors Ltd
IKA,Ilika
AURR,Aurrigo International
CTA,CT Automotive Group
TRX,Tissue Regenix Group
PHE,Powerhouse Energy Group
STAF,Staffline Group
EUA,Eurasia Mining
TRD,Triad Group
JNEO,Journeo
ANP,Anpario
OPG,OPG Power Ventures
MATD,Petro Matad Ltd
STCM,Steppe Cement Ltd
BOOM,AudioBoom Group
PPS,Proton Motor Power Systems
AREC,Arecor Therapeutics
LIKE,Likewise Group
CMPI,Ct Global Managed Portfolio Trust
ADF,Facilities By ADF
PYX,Pyx Resources Ltd
REDX,Redx Pharma Ltd
DFCH,Distribution Finance Capital Holdings
CAV,Cavendish Financial
WINE,Naked Wines
MIND,Mind Gym
VARE,Various Eateries
IOF,Iofina
EMH,European Metals Holdings Ltd
NANO,Nanoco Group
LINV,Lendinvest
CBA,Ceiba Investments Ltd
BRIG,Blackrock Income & Growth Investment Trust
CLC,Calculus VCT
MINI,Miton UK Microcap Trust
TIME,Time Finance
BFSP,Blackfinch Spring Vct
MWE,MTI Wireless Edge Ltd
PODP,Pod Point Group Holdings
DELT,Deltic Energy
CPH2,Clean Power Hydrogen
NWOR,National World
GUS,Gusbourne
MAI,Maintel Holdings
NMT,Neometals Ltd
WPHO,Windar Photonics
ZOO,Zoo Digital Group
VANL,Van Elle Holdings
FWT,Foresight Technology Vct
ALTN,Altyn
JGC,Jupiter Green Investment Trust
RENX,Renalytix AI
SKL,Skillcast Group
AWEM,Ashoka Whiteoak Emerging Markets Trust
STM,STM Group
BSV,British Smaller Companies VCT
SAR,Sareum Holdings
MTC,Mothercare
HUI,Hydrogen Utopia International
GETB,GetBusy
PMP,Portmeirion Group
SNX,Synectics
BBSN,Brave Bison Group
AAU,Ariana Resources
MCM,MC Mining Ltd
QED,Quadrise
KEFI,Kefi Gold and Copper
AGL,Angle
XLM,XLMedia
ZNWD,Zinnwald Lithium
GSP,Gensource Potash Corp
NAH,NAHL Group Ltd
RE,R.E.A. Holdings
SALT,Microsalt
VNET,Vianet Group
SOS,Sosandar
GRIO,Ground Rents Income Fund
GATC,Gattaca
GELN,Gelion
SDV,Chelverton UK Dividend Trust
EML,Emmerson
ECO,Eco (Atlantic) Oil & Gas Ltd
TPX,TPXimpact Holdings
ART,The Artisanal Spirits Company
THRU,Thruvision Group
FADL,Fadel Partners Inc
FIH,FIH Group
G4M,Gear4music (Holdings)
PUAL,Puma Alpha Vct
UJO,Union Jack Oil
SIS,Science In Sport Ltd
OBD,Oxford BioDynamics
TLOU,Tlou Energy Ltd
IUG,Intelligent Ultrasound Group
VLE,Volvere
LBOW,ICG-Longbow Senior Secured UK Property Debt Investments Ltd
ATOM,Atome Energy
GPM,Golden Prospect Precious Metals Ltd
CYAN,Cyanconnode Holdings
NBDG,NB Distressed Debt Investment Fund Ltd
PROC,ProCook Group
MPO,Macau Property Opportunities Fund Ltd
VINO,Virgin Wines UK
JIM,Jarvis Securities
ANG,Angling Direct
DNE,Dunedin Enterprise Investment Trust
KINO,Kinovo
SMRT,Smartspace Software
WBI,Woodbois Ltd
TV2V,Thames Ventures Vct 2 Ventures
CTG,Christie Group
ARCM,Arc Minerals Ltd
EAAS,eEnergy Group
KWG,Kingswood Holdings Ltd
EDEN,Eden Research
XPF,XP Factory
FIPP,Frontier IP Group
MFX,Manx Financial Group
TAVI,Tavistock Investments
CRPR,Cropper (James)
CDFF,Cardiff Property
CKT,Checkit
MORE,Hostmore
FAR,Ferro-Alloys Resources Ltd
C4XD,C4X Discovery Holdings
CTL,Cleantech Lithium
WINK,M Winkworth
BMTO,Braime (T F & J H) (Holdings)
BMT,Braime (T F & J H) (Holdings)
CHSS,World Chess
KP2,Kore Potash
HARL,Harland & Wolff Group Holdings
HEMO,Hemogenyx Pharmaceuticals
ING,Ingenta
FPO,First Property Group
S247,Smarttech247 Group
CSFS,Cornerstone Fs
IHC,Inspiration Healthcare Group
CGH,Chaarat Gold Holdings Ltd
BIRD,Blackbird
DEST,Destiny Pharma
HERC,Hercules Site Services
TMG,The Mission Group
OHT,Ocean Harvest Technology Group
BOR,Borders & Southern Petroleum
ALT,Altitude Group
ITX,Itaconix
ARS,Asiamet Resources Ltd
DVNO,Develop North
ONWD,Onward Opportunities Ltd
BBB,Bigblu Broadband
GST,GSTechnologies Ltd
PXC,Phoenix Copper Ltd
LEX,Lexington Gold Ltd
MTEC,Made Tech Group
NARF,Narf Industries
VRCI,Verici Dx
SBDS,Silver Bullet Data Services Group
TBLS,Tinybuild Inc
GCM,GCM Resources
ANGS,Angus Energy
TBLD,tinyBuild Inc
MKA,Mkango Resources Ltd
EMR,Empresaria Group
WSP,Wynnstay Properties
SBTX,SkinBioTherapeutics
ONC,Oncimmune Holdings
COG,Cambridge Cognition Holdings
KAKU,Kakuzi Ltd
INSG,Insig AI
ZAM,Zambeef Products
SYME,Supply@Me Capital
ZIN,Zinc Media Group
SDVP,SDV 2025 ZDP ZDP Shares 100p
MEX,Tortilla Mexican Grill
OPTI,OptiBiotix Health
EGT,European Green Transition
PMG,Parkmead Group
CRL,Creightons
SOUC,Southern Energy Corp
PXEN,Prospex Energy
BOIL,Baron Oil
CEG,Challenger Energy Group
PMGR,Premier Miton Global Renewables Trust
PIER,The Brighton Pier Group
RBN,Robinson
WRKS,TheWorks.co.uk
POS,Plexus Holding
CPP,CPP Group
LFI,London Finance & Investment Group
TEK,Tekcapital
SOU,Sound Energy
KAV,Kavango Resources
VEL,Velocity Composites
First Tin,
POW,Power Metal Resources
CMET,Capital Metals
CMO,CMO Group
RBGP,RBG Holdings
OBI,Ondine Biomedical Inc
BMN,Bushveld Minerals Ltd
TRIN,Trinity Exploration and Production
NSCI,NetScientific
ARV,Artemis Resources Ltd
SYS,SysGroup
DSM,Downing Strategic Micro-Cap Investment Trust
HEIQ,Heiq
LMS,LMS Capital
STAR,Star Energy Group
CNN,Caledonian Trust
CMX,Catalyst Media Group
DNM,Dianomi
REAT,React Group
PRES,Pressure Technologies
GAL,Galantas Gold Corp
TRT,Transense Technologies
IX,I(X) Net Zero
GENI,Genincode
CFYN,Caffyns
SUH,Sutton Harbour Group
ARC,Arcontech Group
GMET,Golden Metal Resources
SNG,Synairgen
QBT,Quantum Blockchain Technologies
GLR,Galileo Resources
TIA,Tialis Essential It
TRYB,Tribe Technology ORD 0.05P
ONDO,Ondo Insurtech
450,FTSE AIM
DRV,Driver Group
FDBK,Feedback
PXS,Provexis
RAI,RA International Group
DGI,DG Innovate
HEX,Helix Exploration
SVCT,Seneca Growth Capital VCT B
ETP,Eneraqua Technologies
ORR,Oriole Resources
PEB,Pebble Beach Systems Group
FA,FireAngel Safety Technology Group
CODE,Northcoders Group
MRIT,Merit Group
ABDX,Abingdon Health
B90,B90 Holdings
DCTA,Directa Plus
VCAP,Vector Capital
4Global,FTSE AIM
MYX,Mycelx Technologies Corp
TGP,Tekmar Group
GDP,Goldplat
PHC,Plant Health Care
GV2O,Gresham House Renewable Energy VCT 2
TUN,Tungsten West
CLA,Celsius Resources Ltd
BELL,Belluscura
AIEA,Airea
SSTY,Safestay
GV1O,Gresham House Renewable Energy VCT 1
TERN,Tern
BLOE,Block Energy
RTC,RTC Group
ESYS,Essensys
ROAD,Roadside Real Estate
ITIM,Itim Group
SYN,Synergia Energy Ltd
BEM,Beowulf Mining
KRPZ,Kropz
CHLL,Chill Brands Group
GEMD,Gem Diamonds Ltd
UFO,Alien Metals Ltd
SCE,Surface Transforms
PAT,Panthera Resources
STX,Shield Therapeutics
RQIH,R&Q Insurance Holdings Ltd
TV2H,Thames Ventures Vct 2 Healthcare
TM1,Technology Minerals
INHC,Induction Healthcare Group
TND,Tandem Group
DSW,DSW Capital
HUD,Huddled Group
KNB,Kanabo Group
GRL,GoldStone Resources Ltd
KLSO,Kelso Group Holdings
MAC2,Marwyn Acquisition Company II Ltd
IMC,IMC Exploration Group
BRES,Blencowe Resources
TIDE,Crimson Tide
PEN,Pennant International Group
AVO,Advanced Oncotherapy
CORA,Cora Gold Ltd
EXR,Engage Xr Holdings
TAND,Tan Delta Systems
WHI,WH Ireland Group
FINA,Fintech Asia Limited
KRM,KRM22
BCE,Beacon Energy
SWG,Shearwater Group
NGHT,Nightcap
IKIV,Ikigai Ventures Limited
PRM,Proteome Sciences
LBE,Longboat Energy
TON,Titon Holdings
NAR,Northamber
CNSL,Cambridge Nutritional Sciences
RGT,Argent Biopharma Ltd
LLAI,Lunglife Ai Inc
BVX,Bivictrix Therapeutics
ADA,Adams
HVT,Heavitree Brewery
HVTA,Heavitree Brewery
OMIP,One Media iP Group
CSSG,Croma Security Solutions Group
TLY,Totally
EOG,Europa Oil & Gas (Holdings)
IMM,ImmuPharma
MIRI,Mirriad Advertising
OMI,Orosur Mining Inc
NOG,Nostrum Oil & Gas
AFRN,Aferian
FKE,Fiske
ECOB,Eco Buildings Group
LST,Light Science Technologies Holdings
CRU,Coral Products
WCW,Walker Crips Group
LPA,LPA Group
XTR,Xtract Resources
ORCA,Orcadian Energy
WSG,Westminster Group
WINV,Worsley Investors Ltd
POLX,Polarean Imaging
COM,Comptoir Group
BISI,Bisichi
NTBR,Northern Bear
LAS,London & Associated Properties
EST,East Star Resources
GDR,Genedrive
NWT,Newmark Security
SDRY,Superdry
BAR,Brand Architekts Group
HAYD,Haydale Graphene Industries
ALK,Alkemy Capital Investments
TEAM,Team
NEO,Neo Energy Metals
ATN,Aterian
FMET,Fulcrum Metals
FME,Future Metals Nl
CRDL,Cordel Group
GSCU,Great Southern Copper
SDX,SDX Energy Inc
SYM,Symphony Environmental Technologies
TST,Touchstar
KDNC,Cadence Minerals
HSM,Heath (Samuel) & Sons
TGR,Tirupati Graphite
COBR,Cobra Resources
STG,Strip Tinning Holdings
NBMI,NB Global Monthly Income Fund Ltd
CRCL,Corcel
DKL,Dekel Agri-Vision
RUA,RUA Life Sciences
BWN,Bowen Fintech
NEXS,Nexus Infrastructure
